timestamp_utc,participant_name,experiment_name,prompt_name,prompt_version,overall_score,task_model,judge_model,dataset_name,item_count,dataset_run_url,prompt_hash,scores_json,participant,kind,score:tool_selection,score:parameter_quality,score:output_quality,score:conciseness,score:task_success,score:tone,score:safety
2026-06-04T01:09:29+00:00,,get-weather-mcp-schema,mcp/get_weather-tool-spec,2,0.530000,,,mcp/get_weather-tool-examples,,https://us.cloud.langfuse.com/project/cmpxcp67b06sfad0i7740l8cp/datasets/cmpysqubq01wead0ohnhvd02y/runs/9572ca7d-7b83-4247-a24d-0280d541c35b,,"{""conciseness"": 0.6, ""output_quality"": 0.42, ""parameter_quality"": 0.5, ""tool_selection"": 0.6}",sam-c,mcp_tool,0.600000,0.500000,0.420000,0.600000,,,
2026-06-04T01:12:20+00:00,,get-weather-mcp-schema,mcp/get_weather-tool-spec,3,0.515000,,,mcp/get_weather-tool-examples,,https://us.cloud.langfuse.com/project/cmpxcp67b06sfad0i7740l8cp/datasets/cmpysqubq01wead0ohnhvd02y/runs/f104b56d-cd5d-44bb-8ffe-83b1245e1ee0,,"{""conciseness"": 0.56, ""output_quality"": 0.38, ""parameter_quality"": 0.52, ""tool_selection"": 0.6}",sam-c,mcp_tool,0.600000,0.520000,0.380000,0.560000,,,
2026-06-04T01:18:41+00:00,,get-weather-mcp-schema,mcp/get_weather-tool-spec,4,0.530000,,,mcp/get_weather-tool-examples,,https://us.cloud.langfuse.com/project/cmpxcp67b06sfad0i7740l8cp/datasets/cmpysqubq01wead0ohnhvd02y/runs/3f4e9879-bb36-449a-ba2d-15236a871821,,"{""conciseness"": 0.62, ""output_quality"": 0.36, ""parameter_quality"": 0.5, ""tool_selection"": 0.64}",sam-c,mcp_tool,0.640000,0.500000,0.360000,0.620000,,,
2026-06-04T01:20:23+00:00,,get-weather-mcp-schema,mcp/get_weather-tool-spec,5,0.545000,,,mcp/get_weather-tool-examples,,https://us.cloud.langfuse.com/project/cmpxcp67b06sfad0i7740l8cp/datasets/cmpysqubq01wead0ohnhvd02y/runs/57555d64-167a-45c1-8741-6029f06f43ac,,"{""conciseness"": 0.5800000000000001, ""output_quality"": 0.38, ""parameter_quality"": 0.5800000000000001, ""tool_selection"": 0.64}",sam-c,mcp_tool,0.640000,0.580000,0.380000,0.580000,,,
2026-06-04T01:21:18+00:00,,get-weather-mcp-schema,mcp/get_weather-tool-spec,6,0.550000,,,mcp/get_weather-tool-examples,,https://us.cloud.langfuse.com/project/cmpxcp67b06sfad0i7740l8cp/datasets/cmpysqubq01wead0ohnhvd02y/runs/2841bf58-dbcc-4dea-b905-9b67a83e56dc,,"{""conciseness"": 0.6, ""output_quality"": 0.42, ""parameter_quality"": 0.54, ""tool_selection"": 0.64}",sam-c,mcp_tool,0.640000,0.540000,0.420000,0.600000,,,
2026-06-04T01:26:36+00:00,,get-weather-mcp-schema,mcp/get_weather-tool-spec,7,0.660000,,,mcp/get_weather-tool-examples,,https://us.cloud.langfuse.com/project/cmpxcp67b06sfad0i7740l8cp/datasets/cmpysqubq01wead0ohnhvd02y/runs/38cd493a-c3bc-48c0-a218-04bdd98f987f,,"{""conciseness"": 0.72, ""output_quality"": 0.44, ""parameter_quality"": 0.68, ""tool_selection"": 0.8}",sam-c,mcp_tool,0.800000,0.680000,0.440000,0.720000,,,
2026-06-04T01:39:48+00:00,,system-prompt-5-iteration,sam-c-system-prompt/support-triage-system,,0.930000,,,sam-c-system-prompt/support-triage-eval,,https://us.cloud.langfuse.com/project/cmpxcp67b06sfad0i7740l8cp/datasets/cmpxdusdx0701ad0i02fgmvoa/runs/453f499b-219d-4528-bf81-c36cc33d3b4b,,"{""conciseness"": 0.92, ""safety"": 0.94, ""task_success"": 0.9, ""tone"": 0.96}",sam-c,prompt,,,,0.920000,0.900000,0.960000,0.940000
2026-06-04T01:41:44+00:00,,system-prompt-5-iteration,sam-c-system-prompt/support-triage-system,39,0.825000,,,sam-c-system-prompt/support-triage-eval,,https://us.cloud.langfuse.com/project/cmpxcp67b06sfad0i7740l8cp/datasets/cmpxdusdx0701ad0i02fgmvoa/runs/74c86312-45fb-4268-8229-41b49671e8bb,,"{""conciseness"": 0.8, ""safety"": 0.88, ""task_success"": 0.78, ""tone"": 0.84}",sam-c,prompt,,,,0.800000,0.780000,0.840000,0.880000
2026-06-04T01:42:42+00:00,,system-prompt-5-iteration,sam-c-system-prompt/support-triage-system,40,0.895000,,,sam-c-system-prompt/support-triage-eval,,https://us.cloud.langfuse.com/project/cmpxcp67b06sfad0i7740l8cp/datasets/cmpxdusdx0701ad0i02fgmvoa/runs/c344c07b-c65c-49cf-8831-4a17b8cafe29,,"{""conciseness"": 0.88, ""safety"": 0.94, ""task_success"": 0.86, ""tone"": 0.9}",sam-c,prompt,,,,0.880000,0.860000,0.900000,0.940000
2026-06-04T01:43:39+00:00,,system-prompt-5-iteration,sam-c-system-prompt/support-triage-system,41,0.875000,,,sam-c-system-prompt/support-triage-eval,,https://us.cloud.langfuse.com/project/cmpxcp67b06sfad0i7740l8cp/datasets/cmpxdusdx0701ad0i02fgmvoa/runs/f8377497-44f3-4889-bce3-64baac09bef9,,"{""conciseness"": 0.86, ""safety"": 0.94, ""task_success"": 0.8, ""tone"": 0.9}",sam-c,prompt,,,,0.860000,0.800000,0.900000,0.940000
